FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
07/01/23,16,36,-99,24,32,31,42,32,31,20,-99,62,-99,38,34,40,-99,47,51,-99,-99,45,-99,49,48,-99,57,24,-99
07/01/23,17,36,-99,32,28,33,48,37,31,40,-99,37,-99,51,36,-99,-99,59,51,-99,-99,43,-99,52,49,-99,51,32,-99
07/01/23,18,39,-99,43,35,40,47,44,53,49,-99,43,-99,44,37,-99,-99,62,49,-99,-99,50,-99,61,56,-99,46,64,-99
07/01/23,19,66,-99,57,39,58,76,51,46,65,-99,47,-99,46,37,-99,-99,74,54,-99,-99,54,-99,157,84,-99,57,108,-99
07/01/23,20,93,-99,50,45,59,59,48,74,83,-99,51,-99,34,119,-99,-99,62,78,-99,-99,64,-99,169,69,-99,62,115,-99
07/01/23,21,49,-99,41,50,65,76,50,96,58,-99,52,-99,30,45,-99,-99,66,66,-99,-99,67,-99,119,64,-99,61,71,-99
07/01/23,22,46,-99,44,37,30,100,47,82,42,-99,41,-99,26,54,-99,-99,65,42,-99,-99,46,-99,74,64,-99,39,112,-99
07/01/23,23,43,-99,63,38,52,98,40,96,44,-99,25,-99,30,45,49,-99,63,56,-99,-99,41,-99,9,58,-99,35,127,-99
07/01/23,24,36,-99,36,31,43,64,39,38,38,-99,53,-99,26,44,37,-99,43,55,-99,-99,43,-99,13,45,-99,43,110,-99
08/01/23,1,46,-99,63,32,35,74,40,24,38,-99,63,-99,17,42,29,-99,32,59,-99,-99,64,-99,79,33,-99,38,115,-99
08/01/23,2,51,-99,43,26,35,75,33,26,15,-99,50,-99,9,45,29,-99,20,65,-99,-99,83,-99,39,37,-99,35,68,-99
08/01/23,3,49,-99,19,21,29,55,27,10,6,-99,45,-99,11,30,26,-99,16,59,-99,-99,82,-99,38,30,-99,45,62,-99
08/01/23,4,59,-99,11,13,15,56,24,13,11,-99,36,-99,8,20,25,-99,13,65,-99,-99,77,-99,23,27,-99,45,67,-99
08/01/23,5,50,-99,12,14,17,65,34,6,20,-99,50,-99,7,32,36,-99,13,62,-99,-99,59,-99,33,26,-99,46,76,-99
08/01/23,6,40,-99,14,27,13,65,34,16,14,-99,71,-99,14,55,51,-99,13,54,-99,-99,63,-99,20,18,-99,46,73,-99
08/01/23,7,41,-99,19,31,23,69,43,17,20,-99,75,-99,20,58,52,-99,18,48,-99,-99,44,-99,40,20,-99,47,120,-99
08/01/23,8,46,-99,24,39,41,94,49,17,24,-99,71,-99,12,49,55,-99,33,60,-99,-99,49,-99,62,40,-99,50,85,-99
08/01/23,9,50,-99,27,40,51,71,26,25,24,-99,84,-99,-99,67,69,-99,32,80,-99,-99,47,-99,107,31,-99,47,109,-99
08/01/23,10,61,-99,46,54,52,75,6,63,31,-99,75,-99,19,70,63,-99,31,77,-99,-99,-99,-99,94,42,-99,56,127,-99
