FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
05/01/23,20,16,23,-99,14,18,31,18,47,-99,17,33,13,18,17,28,-99,33,-99,-99,36,20,10,11,26,-99,30,21,-99,-99,22,29,-99,26,26,16,-99
05/01/23,21,13,19,-99,23,20,28,18,34,-99,17,33,11,19,27,26,-99,30,-99,-99,28,18,10,22,27,-99,30,20,-99,-99,29,32,-99,26,35,17,-99
05/01/23,22,13,17,-99,25,19,28,17,30,-99,17,32,11,22,30,32,-99,30,-99,-99,21,17,10,20,30,-99,32,18,-99,-99,29,31,-99,21,23,18,-99
05/01/23,23,16,14,-99,25,19,30,16,30,-99,16,24,15,20,27,28,-99,32,-99,-99,22,18,13,17,31,-99,33,20,-99,-99,29,25,-99,22,28,19,-99
05/01/23,24,16,16,-99,23,19,32,20,36,-99,16,20,13,17,24,26,-99,31,-99,-99,20,23,15,15,24,-99,32,18,-99,-99,26,27,-99,21,31,23,-99
06/01/23,1,17,22,-99,18,16,23,19,33,-99,23,10,16,14,23,23,-99,31,-99,-99,26,20,25,13,23,-99,28,18,-99,-99,24,23,-99,21,25,20,-99
06/01/23,2,17,15,-99,17,19,31,21,30,-99,21,10,21,16,26,28,-99,29,-99,-99,31,25,28,12,23,-99,25,14,-99,-99,26,20,-99,28,34,22,-99
06/01/23,3,22,11,-99,10,19,27,20,28,-99,29,14,14,24,30,22,-99,34,-99,-99,33,28,27,7,26,-99,22,19,-99,-99,21,24,-99,32,30,26,-99
06/01/23,4,23,10,-99,13,26,29,24,24,-99,25,10,20,28,30,26,-99,38,-99,-99,34,34,25,5,23,-99,26,29,-99,-99,18,36,-99,28,31,26,-99
06/01/23,5,18,8,-99,21,32,32,20,23,-99,28,10,19,28,29,35,-99,37,-99,-99,33,36,22,4,22,-99,35,29,-99,-99,19,24,-99,29,33,31,-99
06/01/23,6,18,10,-99,20,33,30,20,25,-99,29,11,18,27,29,37,-99,34,-99,-99,35,36,19,5,26,-99,30,29,-99,-99,20,30,-99,26,31,31,-99
