FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,4,UAX,0.27,13.0,22.0,36.0,3.0,45.0,101.0,16.0,1.0,76.0,8.5,128.0,0.7
2023-01-01,4,UIZ,1.2,24.0,27.0,52.0,3.0,133.0,116.0,17.0,2.0,79.0,11.0,184.0,1.1
2023-01-01,4,VIF,2.07,68.0,24.0,92.0,6.0,288.0,23.0,16.0,6.0,75.0,6.7,294.0,0.0
2023-01-01,4,XAL,0.48,7.0,29.0,42.0,24.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,5,ACO,0.83,16.0,15.0,31.0,3.0,142.0,23.0,16.0,1.0,94.0,6.1,332.0,1.1
2023-01-01,5,AJM,0.37,1.0,11.0,11.0,25.0,29.0,19.0,9.0,1.0,75.0,5.2,209.0,2.6
2023-01-01,5,AJU,0.355,3.0,19.0,24.0,10.0,45.0,23.0,16.0,1.0,100.0,1.5,32.0,1.9
2023-01-01,5,ATI,0.42,2.0,14.0,16.0,10.0,16.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,BJU,0.98,3.0,23.0,24.0,1.0,72.0,67.0,5.0,1.0,67.0,10.4,184.0,0.8
2023-01-01,5,CAM,1.52,47.0,24.0,72.0,2.0,105.0,90.0,14.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,CCA,0.51,11.0,18.0,29.0,1.0,45.0,60.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,CHO,0.34,7.0,15.0,22.5,26.0,52.0,23.0,16.0,1.0,76.0,6.8,150.0,0.6
2023-01-01,5,COY,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,CUA,0.35,1.0,9.0,10.0,23.0,29.0,23.0,16.0,1.0,65.0,9.9,252.0,1.9
2023-01-01,5,CUT,0.77,5.0,16.0,21.0,4.0,70.0,23.0,16.0,1.0,75.0,5.7,234.0,0.9
2023-01-01,5,FAC,0.77,16.0,23.0,39.0,2.0,61.0,23.0,16.0,1.0,85.0,5.2,231.0,1.1
2023-01-01,5,FAR,1.24,3.0,21.0,24.0,2.0,45.0,114.0,16.0,1.0,78.0,10.3,37.0,1.0
